Problem_ID,base_results,base_results_processed,instruct_results,instruct_results_processed
HumanEval/0,pass,pass,pass,pass
HumanEval/1,fail,fail,fail,pass
HumanEval/110,fail,fail,fail,fail
HumanEval/118,fail,fail,fail,pass
HumanEval/135,fail,fail,fail,fail
HumanEval/22,fail,pass,pass,pass
HumanEval/24,fail,pass,fail,fail
HumanEval/30,fail,pass,fail,fail
HumanEval/32,fail,fail,fail,fail
HumanEval/36,fail,fail,fail,pass
HumanEval/37,fail,fail,fail,pass
HumanEval/42,fail,pass,fail,fail
HumanEval/46,pass,pass,fail,pass
HumanEval/47,fail,pass,fail,fail
HumanEval/48,pass,pass,fail,fail
HumanEval/53,fail,pass,fail,fail
HumanEval/63,pass,pass,fail,fail
HumanEval/74,fail,fail,fail,fail
HumanEval/80,fail,fail,fail,fail
HumanEval/9,fail,fail,fail,fail
